,flood,address,address1,address2,address3,address4,address5,address6,followInfo,tag,priceInfo（万）,Unit
30,定安里    -  永定门 ,2室1厅 , 46.16平米 , 南 北 东 , 简装 , 中楼层(共6层)  , 板楼,,35人关注 / 14天以前发布,VR看装修房本满五年,398,"86,222元/平"
31,鼎盛园    -  永定门 ,2室1厅 , 93.08平米 , 南 北 , 精装 , 9层 , 2005年建 , 板塔结合,6人关注 / 8天以前发布,近地铁VR看装修房本满五年,988,"106,146元/平"
32,海运仓小区    -  东直门 ,2室1厅 , 61.55平米 , 东 西 , 毛坯 , 底层(共5层)  , 板楼,,2人关注 / 7天以前发布,VR看装修房本满五年,730,"118,603元/平"
33,东营房九条    -  朝阳门外 ,2室1厅 , 51.53平米 , 西南 , 毛坯 , 顶层(共6层)  , 板楼,,5人关注 / 8天以前发布,近地铁VR看装修房本满五年,549,"106,540元/平"
34,广渠家园    -  广渠门 ,2室1厅 , 71.27平米 , 东 , 精装 , 低楼层(共29层) , 2009年建 , 板塔结合,8人关注 / 13天以前发布,VR看装修房本满五年,709,"99,481元/平"
35,海运仓小区    -  东直门 ,1室1厅 , 48.35平米 , 南 , 精装 , 中楼层(共7层)  , 板楼,,6人关注 / 12天以前发布,VR看装修房本满五年,650,"134,437元/平"
36,富贵园三区    -  东花市 ,2室1厅 , 81.71平米 , 东 北 , 简装 , 中楼层(共18层) , 2002年建 , 塔楼,3人关注 / 7天以前发布,近地铁VR看装修随时看房,790,"96,684元/平"
37,民安小区东扬威街    -  东直门 ,2室1厅 , 75.55平米 , 南 , 简装 , 低楼层(共11层)  , 塔楼,,1人关注 / 8天以前发布,近地铁VR房源随时看房,899,"118,995元/平"
38,安德路55号院    -  安定门 ,2室1厅 , 56.69平米 , 东 西 , 精装 , 低楼层(共3层)  , 板楼,,23人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,630,"111,131元/平"
39,西革新里108号院    -  永定门 ,2室1厅 , 59.66平米 , 南 北 , 简装 , 中楼层(共7层) , 1995年建 , 板楼,72人关注 / 2个月以前发布,VR看装修房本满两年随时看房,518,"86,826元/平"
40,花市枣苑三期    -  东花市 ,1室1厅 , 45.1平米 , 北 , 精装 , 中楼层(共18层) , 2005年建 , 板塔结合,1人关注 / 22天以前发布,近地铁VR看装修房本满五年随时看房,576,"127,717元/平"
41,兴隆都市馨园    -  崇文门 ,1室1厅 , 53.31平米 , 南 , 简装 , 6层 , 2004年建 , 板楼,3人关注 / 27天以前发布,近地铁VR房源房本满五年随时看房,598,"112,175元/平"
42,外交部街33号院    -  建国门内 ,1室1厅 , 36.39平米 , 南 , 简装 , 中楼层(共6层)  , 板楼,,4人关注 / 21天以前发布,近地铁VR看装修房本满五年随时看房,619,"170,102元/平"
43,华府景园    -  安定门 ,2室1厅 , 114.07平米 , 西北 , 精装 , 低楼层(共12层)  , 板塔结合,,12人关注 / 24天以前发布,近地铁VR看装修房本满五年,1090,"95,556元/平"
44,和平里五区    -  和平里 ,2室1厅 , 55.12平米 , 南 北 , 简装 , 底层(共6层) , 1996年建 , 板楼,11人关注 / 31天以前发布,VR看装修房本满五年,730,"132,439元/平"
45,车辇店胡同    -  安定门 ,2室1厅 , 71.11平米 , 西南 , 精装 , 中楼层(共11层)  , 板塔结合,,18人关注 / 21天以前发布,近地铁VR看装修房本满五年,930,"130,784元/平"
46,龙潭西里    -  左安门 ,1室1厅 , 43.31平米 , 东南 , 简装 , 6层 , 2000年建 , 板楼,14人关注 / 25天以前发布,VR看装修房本满五年,498,"114,985元/平"
47,国瑞城中区    -  崇文门 ,2室1厅 , 67.01平米 , 东 , 简装 , 高楼层(共16层) , 2006年建 , 塔楼,11人关注 / 20天以前发布,VR看装修房本满五年,750,"111,924元/平"
48,西革新里110号院    -  永定门 ,3室1厅 , 76.51平米 , 南 北 , 精装 , 底层(共6层)  , 板楼,,14人关注 / 17天以前发布,近地铁VR看装修房本满五年,589,"76,984元/平"
49,小黄庄一区    -  安贞 ,3室1厅 , 89.05平米 , 南 北 , 简装 , 中楼层(共6层)  , 板楼,,13人关注 / 15天以前发布,近地铁VR看装修房本满五年,1323,"148,569元/平"
50,和平里中街3号院    -  和平里 ,3室1厅 , 87.17平米 , 东 , 精装 , 中楼层(共21层)  , 塔楼,,5人关注 / 17天以前发布,近地铁VR看装修房本满五年,1159,"132,959元/平"
51,民安小区东扬威街    -  东直门 ,2室1厅 , 71.4平米 , 南 , 精装 , 低楼层(共12层)  , 板楼,,10人关注 / 29天以前发布,近地铁VR看装修房本满五年,825,"115,547元/平"
52,东直门北大街    -  东直门 ,1室1厅 , 53.61平米 , 东 西 , 精装 , 顶层(共12层)  , 板楼,,6人关注 / 27天以前发布,近地铁VR看装修房本满两年,550,"102,593元/平"
53,定安里    -  永定门 ,2室1厅 , 55.1平米 , 南 北 , 简装 , 中楼层(共6层)  , 板楼,,10人关注 / 23天以前发布,近地铁VR看装修房本满五年,448,"81,307元/平"
54,海运仓小区    -  东直门 ,2室1厅 , 65.02平米 , 南 北 , 精装 , 中楼层(共7层)  , 板楼,,10人关注 / 17天以前发布,VR看装修房本满五年,899,"138,266元/平"
55,美术馆东街    -  东四 ,2室1厅 , 57.41平米 , 南 北 , 精装 , 低楼层(共6层)  , 板楼,,10人关注 / 16天以前发布,近地铁VR看装修房本满五年,720,"125,414元/平"
56,骑河楼大街    -  灯市口 ,3室1厅 , 80.93平米 , 东 西 , 简装 , 6层  , 板楼,,4人关注 / 20天以前发布,近地铁VR看装修房本满两年,890,"109,972元/平"
57,大方家胡同    -  朝阳门内 ,2室1厅 , 76.36平米 , 南 北 , 其他 , 高楼层(共16层) , 2003年建 , 板楼,18人关注 / 21天以前发布,近地铁VR看装修房本满五年,859,"112,494元/平"
58,幸福北里    -  广渠门 ,2室1厅 , 49.65平米 , 南 , 简装 , 低楼层(共3层)  , 板楼,,24人关注 / 16天以前发布,VR看装修房本满五年,527,"106,144元/平"
59,富莱茵花园    -  永定门 ,2室1厅 , 62.01平米 , 南 北 , 精装 , 中楼层(共6层)  , 板楼,,18人关注 / 12天以前发布,近地铁VR看装修房本满两年,548,"88,373元/平"
60,东中街    -  东直门 ,2室1厅 , 54.08平米 , 南 北 , 简装 , 低楼层(共6层) , 1982年建 , 板楼,14人关注 / 25天以前发布,近地铁VR看装修房本满五年,656,"121,302元/平"
61,大方家胡同    -  朝阳门内 ,2室1厅 , 68.29平米 , 南 北 , 精装 , 低楼层(共6层)  , 板楼,,7人关注 / 20天以前发布,近地铁VR看装修房本满五年,896,"131,206元/平"
62,南岗子    -  崇文门 ,2室1厅 , 57.87平米 , 南 北 , 精装 , 中楼层(共6层) , 1988年建 , 板楼,12人关注 / 22天以前发布,近地铁VR房源房本满两年,666,"115,086元/平"
63,新世界家园    -  崇文门 ,4室2厅 , 175.75平米 , 南 北 , 其他 , 中楼层(共10层) , 2001年建 , 板楼,43人关注 / 8个月以前发布,VR看装修房本满五年,2420,"137,696元/平"
64,花市枣苑三期    -  东花市 ,3室1厅 , 140.33平米 , 南 北 , 简装 , 低楼层(共18层) , 2005年建 , 塔楼,7人关注 / 1个月以前发布,近地铁VR看装修房本满五年,1998,"142,379元/平"
65,中海紫御公馆    -  陶然亭 ,2室2厅 , 90.5平米 , 南 , 简装 , 中楼层(共18层)  , 板塔结合,,12人关注 / 8天以前发布,VR看装修房本满五年,1189,"131,382元/平"
66,北京上舍    -  广渠门 ,3室1厅 , 125.05平米 , 东南 北 , 精装 , 高楼层(共15层) , 2008年建 , 塔楼,127人关注 / 5个月以前发布,VR看装修房本满五年,1360,"108,757元/平"
67,东直门外大街(东城）    -  东直门 ,3室1厅 , 88.38平米 , 南 北 , 精装 , 中楼层(共14层) , 1990年建 , 板楼,11人关注 / 13天以前发布,近地铁VR看装修,989,"111,904元/平"
68,南门仓胡同    -  朝阳门内 ,4室2厅 , 116.37平米 , 南 北 , 简装 , 顶层(共6层)  , 板楼,,24人关注 / 3个月以前发布,近地铁VR房源房本满五年,1150,"98,823元/平"
69,华龙美晟    -  永定门 ,3室2厅 , 113.63平米 , 南 北 , 精装 , 中楼层(共12层) , 2009年建 , 板塔结合,53人关注 / 3个月以前发布,VR看装修房本满五年,1085,"95,486元/平"
70,新世界家园    -  崇文门 ,4室2厅 , 181.91平米 , 南 西 北 , 精装 , 低楼层(共10层)  , 板楼,,36人关注 / 3个月以前发布,近地铁VR看装修房本满五年,2800,"153,923元/平"
71,国瑞城东区    -  崇文门 ,3室1厅 , 90.03平米 , 西南 , 精装 , 高楼层(共16层) , 2006年建 , 塔楼,133人关注 / 9个月以前发布,VR看装修房本满五年,1030,"114,407元/平"
72,绿景苑    -  广渠门 ,3室2厅 , 142.68平米 , 南 北 , 简装 , 中楼层(共14层) , 1999年建 , 板塔结合,42人关注 / 6个月以前发布,近地铁VR看装修房本满五年,1608,"112,700元/平"
73,国瑞城中区    -  崇文门 ,2室1厅 , 69.49平米 , 西 , 简装 , 中楼层(共16层) , 2006年建 , 塔楼,9人关注 / 2个月以前发布,VR看装修房本满五年,805,"115,845元/平"
74,前门前    -  天坛 ,4室2厅 , 169.5平米 , 南 北 , 精装 , 低楼层(共6层)  , 板楼,,115人关注 / 6个月以前发布,VR看装修房本满五年,2220,"130,974元/平"
75,鸿安国际大厦    -  金宝街 ,4室2厅 , 238平米 , 南 北 , 精装 , 中楼层(共13层)  , 板塔结合,,33人关注 / 6个月以前发布,VR看装修房本满五年,2600,"109,244元/平"
76,雍和家园一期    -  和平里 ,3室1厅 , 171.17平米 , 南 北 , 精装 , 中楼层(共16层) , 2001年建 , 板塔结合,34人关注 / 2个月以前发布,近地铁VR看装修房本满五年,2180,"127,359元/平"
77,小黄庄二区    -  安贞 ,3室1厅 , 108.65平米 , 南 , 简装 , 低楼层(共12层)  , 板塔结合,,66人关注 / 10个月以前发布,近地铁VR看装修房本满五年,1256,"115,601元/平"
78,海晟名苑南区    -  工体 ,3室1厅 , 147.15平米 , 西南 , 精装 , 中楼层(共22层) , 2003年建 , 板塔结合,28人关注 / 5个月以前发布,VR看装修房本满五年,2259,"153,517元/平"
79,富贵园三区    -  东花市 ,2室1厅 , 77.43平米 , 西 , 精装 , 中楼层(共18层) , 2002年建 , 塔楼,25人关注 / 2个月以前发布,近地铁VR看装修房本满五年,709,"91,567元/平"
80,十字坡东里    -  工体 ,1室1厅 , 37.83平米 , 南 , 简装 , 顶层(共5层)  , 板楼,,5人关注 / 16天以前发布,近地铁VR房源房本满五年,492,"130,056元/平"
81,巷上嘉园    -  安定门 ,1室1厅 , 64.78平米 , 北 , 精装 , 高楼层(共24层)  , 塔楼,,6人关注 / 12天以前发布,近地铁VR看装修房本满五年,788,"121,643元/平"
82,东直门内北小街8号院    -  东直门 ,3室1厅 , 90.76平米 , 南 北 , 精装 , 低楼层(共13层)  , 板塔结合,,13人关注 / 30天以前发布,VR看装修随时看房,988,"108,859元/平"
83,富贵园三区    -  东花市 ,1室1厅 , 61.38平米 , 南 , 精装 , 中楼层(共12层) , 2002年建 , 板楼,51人关注 / 3个月以前发布,VR看装修房本满五年随时看房,675,"109,971元/平"
84,和平里七区    -  和平里 ,2室1厅 , 60.11平米 , 南 北 , 精装 , 中楼层(共5层) , 1986年建 , 板楼,14人关注 / 1个月以前发布,VR看装修房本满两年随时看房,770,"128,099元/平"
85,巷上嘉园    -  安定门 ,2室1厅 , 99.35平米 , 东南 , 精装 , 中楼层(共12层)  , 塔楼,,35人关注 / 2个月以前发布,近地铁VR房源房本满五年随时看房,1100,"110,720元/平"
86,胡家园小区    -  东直门 ,2室1厅 , 67.92平米 , 东 南 , 简装 , 中楼层(共17层) , 1991年建 , 塔楼,21人关注 / 3个月以前发布,近地铁VR看装修房本满五年随时看房,766,"112,780元/平"
87,安外东河沿    -  安定门 ,2室1厅 , 67.03平米 , 西南 , 简装 , 低楼层(共20层)  , 塔楼,,44人关注 / 7个月以前发布,近地铁VR看装修房本满五年随时看房,820,"122,334元/平"
88,朝阳门南小街    -  朝阳门内 ,2室1厅 , 80.32平米 , 南 , 其他 , 中楼层(共11层)  , 板塔结合,,61人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,945,"117,655元/平"
89,青年湖东里    -  安定门 ,2室1厅 , 61.76平米 , 南 北 , 简装 , 高楼层(共6层)  , 板楼,,62人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,630,"102,008元/平"
90,地坛北里    -  和平里 ,2室1厅 , 51.43平米 , 东南 , 精装 , 中楼层(共5层)  , 板楼,,29人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,720,"139,997元/平"
91,安外西河沿    -  安定门 ,2室1厅 , 47.65平米 , 南 北 , 简装 , 中楼层(共11层)  , 板塔结合,,50人关注 / 1个月以前发布,VR看装修房本满五年随时看房,582,"122,141元/平"
92,北新桥三条1号院    -  东直门 ,3室1厅 , 75.79平米 , 南 北 , 精装 , 顶层(共5层)  , 板楼,,16人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,895,"118,090元/平"
93,天天家园    -  永定门 ,2室2厅 , 111.2平米 , 南 北 , 精装 , 10层  , 板楼,,16人关注 / 31天以前发布,近地铁VR看装修房本满五年随时看房,958,"86,152元/平"
94,中海紫御公馆    -  陶然亭 ,2室1厅 , 61.66平米 , 东北 , 精装 , 中楼层(共22层) , 2010年建 , 板塔结合,39人关注 / 1个月以前发布,VR房源房本满两年随时看房,710,"115,148元/平"
95,车辇店胡同    -  安定门 ,2室1厅 , 64.98平米 , 南 北 , 简装 , 中楼层(共11层)  , 板塔结合,,84人关注 / 3个月以前发布,近地铁VR看装修房本满五年随时看房,855,"131,579元/平"
96,东营房九条    -  朝阳门外 ,2室1厅 , 55.41平米 , 南 , 简装 , 中楼层(共6层)  , 板楼,,14人关注 / 2个月以前发布,近地铁VR看装修房本满两年随时看房,609,"109,908元/平"
97,新景家园东区    -  崇文门 ,2室1厅 , 80.52平米 , 南 北 , 简装 , 中楼层(共12层)  , 板楼,,44人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,930,"115,500元/平"
98,小黄庄一区    -  安贞 ,3室1厅 , 78.66平米 , 南 北 , 精装 , 高楼层(共12层) , 1993年建 , 板楼,13人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,1030,"130,944元/平"
99,东直门内大街    -  东直门 ,2室1厅 , 63.37平米 , 南 北 , 简装 , 中楼层(共12层)  , 板楼,,25人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,745,"117,564元/平"
100,兴隆都市馨园    -  崇文门 ,1室1厅 , 53.27平米 , 南 , 简装 , 低楼层(共7层) , 2003年建 , 板楼,15人关注 / 2个月以前发布,近地铁VR房源房本满五年随时看房,600,"112,634元/平"
101,东后河沿    -  崇文门 ,2室1厅 , 71.28平米 , 南 北 , 精装 , 底层(共12层) , 1999年建 , 板楼,18人关注 / 2个月以前发布,VR房源房本满五年随时看房,878,"123,177元/平"
102,广渠家园    -  广渠门 ,2室1厅 , 71.27平米 , 西 , 简装 , 中楼层(共29层) , 2009年建 , 板塔结合,33人关注 / 1个月以前发布,VR看装修房本满五年随时看房,675,"94,711元/平"
103,富莱茵花园    -  永定门 ,3室1厅 , 98.38平米 , 南 西 北 , 精装 , 高楼层(共21层) , 1995年建 , 塔楼,21人关注 / 2个月以前发布,VR看装修房本满五年随时看房,739,"75,117元/平"
104,崇文门西大街    -  崇文门 ,2室1厅 , 49.25平米 , 南 , 简装 , 低楼层(共13层)  , 板楼,,105人关注 / 6个月以前发布,VR看装修房本满五年随时看房,531,"107,818元/平"
105,安德路47号院    -  安定门 ,2室1厅 , 59.03平米 , 南 北 , 精装 , 6层  , 板楼,,74人关注 / 10个月以前发布,近地铁VR看装修房本满五年随时看房,730,"123,666元/平"
106,东直门内大街    -  东直门 ,2室1厅 , 73.47平米 , 南 北 , 简装 , 中楼层(共14层)  , 板塔结合,,46人关注 / 7个月以前发布,近地铁VR看装修房本满两年随时看房,785,"106,847元/平"
107,李村南里    -  永定门 ,2室1厅 , 57.6平米 , 南 北 , 精装 , 6层 , 1990年建 , 板楼,20人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,398,"69,098元/平"
108,本家润园C区    -  东花市 ,1室1厅 , 46.93平米 , 北 , 简装 , 低楼层(共18层)  , 板塔结合,,11人关注 / 2个月以前发布,近地铁VR看装修房本满两年随时看房,560,"119,327元/平"
109,金世纪嘉园    -  广渠门 ,2室1厅 , 87.54平米 , 西南 , 精装 , 低楼层(共21层) , 2005年建 , 塔楼,18人关注 / 1个月以前发布,VR看装修房本满五年随时看房,838,"95,728元/平"
110,华龙美晟    -  永定门 ,2室1厅 , 85.45平米 , 东 , 简装 , 高楼层(共12层) , 2009年建 , 板塔结合,20人关注 / 1个月以前发布,VR看装修房本满五年随时看房,792,"92,686元/平"
111,恒基中心    -  建国门内 ,2室2厅 , 107.84平米 , 西 , 精装 , 中楼层(共23层) , 1997年建 , 板塔结合,14人关注 / 2个月以前发布,近地铁VR房源房本满五年随时看房,798,"73,999元/平"
112,前门前    -  天坛 ,2室1厅 , 80.81平米 , 南 , 其他 , 高楼层(共6层)  , 板塔结合,,25人关注 / 2个月以前发布,VR房源房本满五年随时看房,1025,"126,841元/平"
113,东直门内大街    -  东直门 ,3室1厅 , 71.62平米 , 西南 , 简装 , 低楼层(共16层) , 2002年建 , 塔楼,14人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,780,"108,909元/平"
114,北新桥三条1号院    -  东直门 ,3室1厅 , 56.73平米 , 南 西 北 , 简装 , 中楼层(共5层)  , 板楼,,13人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,765,"134,850元/平"
115,建国门北大街    -  建国门内 ,2室1厅 , 57.89平米 , 西南 西北 , 简装 , 中楼层(共17层) , 1990年建 , 塔楼,27人关注 / 1个月以前发布,VR看装修房本满五年随时看房,635,"109,691元/平"
116,海运仓胡同3号院    -  东直门 ,2室1厅 , 46.97平米 , 南 北 , 简装 , 中楼层(共5层)  , 板楼,,29人关注 / 26天以前发布,近地铁VR看装修房本满五年随时看房,550,"117,097元/平"
117,本家润园一期    -  东花市 ,1室1厅 , 71.38平米 , 西 , 精装 , 低楼层(共11层) , 2005年建 , 板楼,15人关注 / 3个月以前发布,近地铁VR看装修房本满两年随时看房,923,"129,308元/平"
118,广渠家园    -  广渠门 ,3室1厅 , 85.24平米 , 东北 , 简装 , 高楼层(共28层) , 2009年建 , 塔楼,35人关注 / 5个月以前发布,VR看装修房本满两年随时看房,866,"101,596元/平"
119,朝内大街203号院    -  东四 ,3室1厅 , 68.53平米 , 南 北 , 简装 , 中楼层(共6层)  , 板楼,,46人关注 / 3个月以前发布,近地铁VR看装修房本满五年随时看房,898,"131,038元/平"
120,和平里中街3号院    -  和平里 ,2室1厅 , 95.27平米 , 西南 , 精装 , 高楼层(共16层) , 2012年建 , 塔楼,12人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,1256,"131,836元/平"
121,广渠家园    -  广渠门 ,2室2厅 , 71.15平米 , 西 , 精装 , 低楼层(共29层) , 2009年建 , 板塔结合,16人关注 / 1个月以前发布,VR房源房本满五年随时看房,728,"102,320元/平"
122,东革新里40号院    -  永定门 ,2室1厅 , 58.07平米 , 南 北 , 简装 , 中楼层(共6层) , 1983年建 , 板楼,61人关注 / 2个月以前发布,VR看装修房本满五年随时看房,460,"79,215元/平"
123,安外西河沿    -  安定门 ,2室1厅 , 47.67平米 , 东 西 , 精装 , 12层  , 板塔结合,,133人关注 / 8个月以前发布,近地铁VR看装修房本满五年随时看房,520,"109,084元/平"
124,左安浦园    -  左安门 ,3室1厅 , 114.52平米 , 南 北 , 精装 , 中楼层(共16层)  , 塔楼,,26人关注 / 2个月以前发布,VR看装修房本满两年随时看房,1130,"98,673元/平"
125,中海紫御公馆    -  陶然亭 ,2室2厅 , 91.09平米 , 南 , 精装 , 中楼层(共21层)  , 板塔结合,,49人关注 / 1个月以前发布,VR看装修房本满五年随时看房,1199,"131,629元/平"
126,前门东大街    -  前门 ,2室1厅 , 53.62平米 , 南 北 , 精装 , 高楼层(共10层)  , 板楼,,34人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,585,"109,102元/平"
127,城市亮点    -  永定门 ,2室1厅 , 84.46平米 , 南 , 精装 , 高楼层(共12层) , 2003年建 , 板塔结合,55人关注 / 2个月以前发布,VR房源房本满五年随时看房,835,"98,864元/平"
128,阳光都市    -  工体 ,2室1厅 , 102.98平米 , 西 , 精装 , 低楼层(共24层)  , 塔楼,,12人关注 / 3个月以前发布,近地铁VR看装修房本满五年随时看房,1160,"112,644元/平"
129,夕照寺中街    -  广渠门 ,1室1厅 , 41.99平米 , 南 北 , 精装 , 底层(共7层) , 1991年建 , 板楼,53人关注 / 1个月以前发布,近地铁VR看装修房本满两年随时看房,440,"104,787元/平"
130,地坛北门    -  和平里 ,2室1厅 , 51.32平米 , 南 北 , 毛坯 , 底层(共5层) , 1975年建 , 板楼,2人关注 / 12天以前发布,VR房源随时看房,715,"139,322元/平"
